Year,,,,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Noth Pacific (NP),,,,,,,,South Pacific (SP),,,,,,,Western GOM (WGOM),,,,,,,Eastern GOM (EGOM),,,,,,,South Atlantic (SA),,,,,,,Mid Atlantic (MA),,,,,,,North Atlantic (NA),,,,,,,,,,,
,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,,,,,,
,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,,,,,,,
1976,1.357,0.059,-0.232,1.728,0.109,-0.072,,1.126,0.055,-0.237,1.358,0.072,-0.300,,0.513,0.112,0.454,0.546,0.088,-0.084,,0.898,0.112,0.479,1.014,0.101,0.116,,1.086,0.050,-0.026,1.106,0.059,-0.176,,0.617,0.067,0.343,0.789,0.098,-0.035,,3.802,0.076,-0.193,2.214,0.106,-0.103,,,,,,,,
1977,1.361,0.062,-0.232,1.732,0.110,-0.072,,1.129,0.052,-0.237,1.358,0.072,-0.300,,0.513,0.112,0.454,0.552,0.086,-0.084,,0.904,0.120,0.479,1.012,0.100,0.116,,1.084,0.049,-0.026,1.100,0.060,-0.176,,0.619,0.068,0.343,0.793,0.102,-0.035,,3.804,0.076,-0.193,2.216,0.096,-0.103,,,,,,,,
1978,1.361,0.062,-0.232,1.736,0.113,-0.072,,1.128,0.051,-0.237,1.354,0.070,-0.300,,0.516,0.115,0.454,0.553,0.088,-0.084,,0.914,0.124,0.479,1.015,0.101,0.116,,1.082,0.047,-0.026,1.101,0.056,-0.176,,0.620,0.073,0.343,0.794,0.102,-0.035,,3.803,0.075,-0.193,2.210,0.091,-0.103,,,,,,,,
1979,1.359,0.060,-0.232,1.731,0.109,-0.072,,1.125,0.048,-0.237,1.349,0.072,-0.300,,0.523,0.120,0.454,0.554,0.089,-0.084,,0.914,0.125,0.479,1.014,0.100,0.116,,1.078,0.047,-0.026,1.101,0.056,-0.176,,0.619,0.072,0.343,0.797,0.104,-0.035,,3.801,0.075,-0.193,2.202,0.093,-0.103,,,,,,,,
1980,1.359,0.059,-0.232,1.733,0.110,-0.072,,1.124,0.049,-0.237,1.350,0.072,-0.300,,0.528,0.118,0.454,0.549,0.088,-0.084,,0.916,0.130,0.479,1.015,0.101,0.116,,1.076,0.048,-0.026,1.101,0.056,-0.176,,0.619,0.073,0.343,0.787,0.099,-0.035,,3.797,0.076,-0.193,2.199,0.093,-0.103,,,,,,,,
1981,1.359,0.059,-0.232,1.729,0.110,-0.072,,1.126,0.050,-0.237,1.356,0.073,-0.300,,0.526,0.126,0.454,0.551,0.090,-0.084,,0.913,0.141,0.479,1.018,0.096,0.116,,1.077,0.049,-0.026,1.098,0.054,-0.176,,0.623,0.074,0.343,0.784,0.097,-0.035,,3.795,0.075,-0.193,2.196,0.091,-0.103,,,,,,,,
1982,1.358,0.058,-0.232,1.732,0.114,-0.072,,1.128,0.051,-0.237,1.361,0.076,-0.300,,0.520,0.117,0.454,0.553,0.092,-0.084,,0.901,0.137,0.479,1.018,0.096,0.116,,1.077,0.049,-0.026,1.096,0.054,-0.176,,0.624,0.075,0.343,0.782,0.095,-0.035,,3.800,0.070,-0.193,2.195,0.089,-0.103,,,,,,,,
1983,1.357,0.051,-0.232,1.737,0.117,-0.072,,1.127,0.051,-0.237,1.358,0.075,-0.300,,0.523,0.121,0.454,0.555,0.093,-0.084,,0.901,0.138,0.479,1.020,0.097,0.116,,1.080,0.049,-0.026,1.096,0.054,-0.176,,0.625,0.075,0.343,0.773,0.099,-0.035,,3.800,0.070,-0.193,2.195,0.089,-0.103,,,,,,,,
1984,1.352,0.051,-0.232,1.738,0.118,-0.072,,1.125,0.053,-0.237,1.355,0.077,-0.300,,0.534,0.128,0.454,0.561,0.091,-0.084,,0.889,0.129,0.479,1.029,0.095,0.116,,1.082,0.050,-0.026,1.098,0.053,-0.176,,0.623,0.074,0.343,0.776,0.097,-0.035,,3.798,0.071,-0.193,2.198,0.092,-0.103,,,,,,,,
1985,1.353,0.051,-0.232,1.744,0.122,-0.072,,1.125,0.052,-0.237,1.362,0.076,-0.300,,0.540,0.138,0.454,0.566,0.094,-0.084,,0.881,0.118,0.479,1.026,0.093,0.116,,1.079,0.049,-0.026,1.096,0.052,-0.176,,0.622,0.079,0.343,0.772,0.094,-0.035,,3.792,0.074,-0.193,2.196,0.090,-0.103,,,,,,,,
1986,1.355,0.047,-0.232,1.737,0.116,-0.072,,1.130,0.050,-0.237,1.363,0.077,-0.300,,0.538,0.136,0.454,0.571,0.095,-0.084,,0.885,0.124,0.479,1.025,0.091,0.116,,1.080,0.051,-0.026,1.096,0.051,-0.176,,0.623,0.080,0.343,0.765,0.089,-0.035,,3.794,0.074,-0.193,2.198,0.092,-0.103,,,,,,,,
1987,1.356,0.047,-0.232,1.737,0.116,-0.072,,1.131,0.051,-0.237,1.357,0.074,-0.300,,0.542,0.139,0.454,0.574,0.090,-0.084,,0.890,0.132,0.479,1.019,0.090,0.116,,1.080,0.051,-0.026,1.096,0.052,-0.176,,0.630,0.083,0.343,0.768,0.091,-0.035,,3.797,0.074,-0.193,2.197,0.091,-0.103,,,,,,,,
1988,1.355,0.049,-0.232,1.728,0.109,-0.072,,1.127,0.053,-0.237,1.351,0.076,-0.300,,0.554,0.148,0.454,0.567,0.089,-0.084,,0.904,0.142,0.479,1.022,0.094,0.116,,1.079,0.050,-0.026,1.096,0.052,-0.176,,0.633,0.087,0.343,0.769,0.092,-0.035,,3.794,0.075,-0.193,2.199,0.094,-0.103,,,,,,,,
1989,1.356,0.050,-0.232,1.729,0.110,-0.072,,1.128,0.053,-0.237,1.353,0.072,-0.300,,0.544,0.142,0.454,0.568,0.090,-0.084,,0.897,0.137,0.479,1.020,0.093,0.116,,1.082,0.053,-0.026,1.099,0.054,-0.176,,0.632,0.086,0.343,0.769,0.092,-0.035,,3.794,0.075,-0.193,2.197,0.101,-0.103,,,,,,,,
1990,1.360,0.052,-0.232,1.736,0.112,-0.072,,1.130,0.052,-0.237,1.358,0.072,-0.300,,0.539,0.149,0.454,0.571,0.090,-0.084,,0.896,0.135,0.479,1.023,0.094,0.116,,1.087,0.056,-0.026,1.100,0.054,-0.176,,0.637,0.090,0.343,0.768,0.091,-0.035,,3.789,0.075,-0.193,2.195,0.098,-0.103,,,,,,,,
1991,1.356,0.051,-0.232,1.734,0.110,-0.072,,1.129,0.052,-0.237,1.355,0.071,-0.300,,0.539,0.149,0.454,0.572,0.090,-0.084,,0.886,0.123,0.479,1.022,0.093,0.116,,1.088,0.057,-0.026,1.100,0.054,-0.176,,0.634,0.086,0.343,0.770,0.094,-0.035,,3.785,0.076,-0.193,2.194,0.097,-0.103,,,,,,,,
1992,1.353,0.048,-0.232,1.724,0.108,-0.072,,1.129,0.050,-0.237,1.356,0.069,-0.300,,0.535,0.144,0.454,0.572,0.090,-0.084,,0.887,0.125,0.479,1.025,0.076,0.116,,1.090,0.057,-0.026,1.102,0.057,-0.176,,0.634,0.086,0.343,0.776,0.100,-0.035,,3.787,0.079,-0.193,2.195,0.098,-0.103,,,,,,,,
1993,1.358,0.050,-0.232,1.724,0.102,-0.072,,1.126,0.051,-0.237,1.351,0.067,-0.300,,0.539,0.147,0.454,0.569,0.091,-0.084,,0.889,0.127,0.479,1.028,0.078,0.116,,1.094,0.056,-0.026,1.104,0.058,-0.176,,0.640,0.088,0.343,0.775,0.096,-0.035,,3.794,0.071,-0.193,2.192,0.097,-0.103,,,,,,,,
1994,1.361,0.052,-0.232,1.721,0.101,-0.072,,1.128,0.051,-0.237,1.345,0.068,-0.300,,0.537,0.147,0.454,0.572,0.093,-0.084,,0.889,0.127,0.479,1.027,0.077,0.116,,1.099,0.057,-0.026,1.107,0.059,-0.176,,0.642,0.092,0.343,0.782,0.100,-0.035,,3.795,0.072,-0.193,2.187,0.091,-0.103,,,,,,,,
1995,1.363,0.054,-0.232,1.725,0.100,-0.072,,1.129,0.052,-0.237,1.348,0.071,-0.300,,0.536,0.148,0.454,0.570,0.094,-0.084,,0.891,0.130,0.479,1.024,0.076,0.116,,1.103,0.057,-0.026,1.106,0.059,-0.176,,0.633,0.093,0.343,0.783,0.100,-0.035,,3.798,0.075,-0.193,2.187,0.091,-0.103,,,,,,,,
1996,1.365,0.054,-0.232,1.720,0.095,-0.072,,1.127,0.051,-0.237,1.347,0.070,-0.300,,0.529,0.142,0.454,0.567,0.092,-0.084,,0.897,0.130,0.479,1.025,0.077,0.116,,1.101,0.061,-0.026,1.107,0.059,-0.176,,0.636,0.097,0.343,0.778,0.095,-0.035,,3.796,0.074,-0.193,2.185,0.086,-0.103,,,,,,,,
1997,1.363,0.052,-0.232,1.718,0.095,-0.072,,1.125,0.050,-0.237,1.346,0.070,-0.300,,0.541,0.151,0.454,0.568,0.093,-0.084,,0.897,0.131,0.479,1.025,0.077,0.116,,1.097,0.060,-0.026,1.101,0.061,-0.176,,0.645,0.096,0.343,0.779,0.096,-0.035,,3.799,0.077,-0.193,2.183,0.084,-0.103,,,,,,,,
1998,1.368,0.054,-0.232,1.718,0.095,-0.072,,1.127,0.051,-0.237,1.345,0.069,-0.300,,0.533,0.146,0.454,0.574,0.094,-0.084,,0.902,0.141,0.479,1.029,0.081,0.116,,1.097,0.063,-0.026,1.101,0.060,-0.176,,0.641,0.089,0.343,0.771,0.097,-0.035,,3.805,0.078,-0.193,2.186,0.082,-0.103,,,,,,,,
1999,1.370,0.056,-0.232,1.716,0.095,-0.072,,1.130,0.051,-0.237,1.346,0.070,-0.300,,0.533,0.144,0.454,0.569,0.091,-0.084,,0.908,0.147,0.479,1.027,0.079,0.116,,1.095,0.066,-0.026,1.101,0.061,-0.176,,0.640,0.087,0.343,0.775,0.099,-0.035,,3.804,0.077,-0.193,2.188,0.084,-0.103,,,,,,,,
2000,1.367,0.053,-0.232,1.712,0.090,-0.072,,1.127,0.050,-0.237,1.343,0.068,-0.300,,0.530,0.142,0.454,0.573,0.085,-0.084,,0.903,0.143,0.479,1.024,0.077,0.116,,1.092,0.063,-0.026,1.098,0.059,-0.176,,0.645,0.086,0.343,0.774,0.099,-0.035,,3.802,0.076,-0.193,2.184,0.081,-0.103,,,,,,,,
2001,1.364,0.050,-0.232,1.710,0.089,-0.072,,1.124,0.049,-0.237,1.341,0.066,-0.300,,0.526,0.139,0.454,0.567,0.081,-0.084,,0.903,0.143,0.479,1.020,0.072,0.116,,1.093,0.063,-0.026,1.097,0.058,-0.176,,0.643,0.085,0.343,0.770,0.096,-0.035,,3.801,0.076,-0.193,2.188,0.080,-0.103,,,,,,,,
2002,1.364,0.051,-0.232,1.711,0.086,-0.072,,1.121,0.051,-0.237,1.342,0.065,-0.300,,0.514,0.127,0.454,0.560,0.079,-0.084,,0.899,0.142,0.479,1.013,0.071,0.116,,1.090,0.062,-0.026,1.094,0.058,-0.176,,0.637,0.082,0.343,0.767,0.097,-0.035,,3.795,0.076,-0.193,2.184,0.080,-0.103,,,,,,,,
2003,1.365,0.051,-0.232,1.716,0.080,-0.072,,1.122,0.050,-0.237,1.345,0.064,-0.300,,0.514,0.125,0.454,0.564,0.076,-0.084,,0.895,0.138,0.479,1.017,0.068,0.116,,1.089,0.062,-0.026,1.092,0.056,-0.176,,0.639,0.083,0.343,0.763,0.093,-0.035,,3.793,0.075,-0.193,2.186,0.081,-0.103,,,,,,,,
2004,1.366,0.051,-0.232,1.718,0.079,-0.072,,1.122,0.050,-0.237,1.343,0.063,-0.300,,0.510,0.122,0.454,0.566,0.068,-0.084,,0.888,0.126,0.479,1.012,0.063,0.116,,1.087,0.061,-0.026,1.089,0.054,-0.176,,0.636,0.082,0.343,0.760,0.088,-0.035,,3.788,0.072,-0.193,2.184,0.081,-0.103,,,,,,,,
2005,1.364,0.050,-0.232,1.714,0.076,-0.072,,1.120,0.050,-0.237,1.342,0.063,-0.300,,0.508,0.120,0.454,0.560,0.066,-0.084,,0.891,0.127,0.479,1.008,0.058,0.116,,1.085,0.059,-0.026,1.087,0.053,-0.176,,0.636,0.082,0.343,0.753,0.082,-0.035,,3.783,0.069,-0.193,2.180,0.076,-0.103,,,,,,,,
2006,1.367,0.052,-0.232,1.721,0.074,-0.072,,1.119,0.049,-0.237,1.343,0.063,-0.300,,0.519,0.127,0.454,0.561,0.066,-0.084,,0.896,0.133,0.479,1.008,0.058,0.116,,1.087,0.060,-0.026,1.089,0.054,-0.176,,0.643,0.085,0.343,0.762,0.086,-0.035,,3.788,0.072,-0.193,2.184,0.078,-0.103,,,,,,,,
2007,1.368,0.050,-0.232,1.717,0.071,-0.072,,1.120,0.049,-0.237,1.345,0.061,-0.300,,0.515,0.124,0.454,0.562,0.064,-0.084,,0.892,0.130,0.479,1.008,0.058,0.116,,1.088,0.060,-0.026,1.087,0.052,-0.176,,0.642,0.085,0.343,0.765,0.084,-0.035,,3.783,0.069,-0.193,2.182,0.077,-0.103,,,,,,,,
2008,1.371,0.052,-0.232,1.721,0.074,-0.072,,1.119,0.048,-0.237,1.349,0.062,-0.300,,0.515,0.123,0.454,0.567,0.066,-0.084,,0.896,0.134,0.479,1.010,0.061,0.116,,1.089,0.061,-0.026,1.088,0.053,-0.176,,0.642,0.083,0.343,0.773,0.086,-0.035,,3.788,0.072,-0.193,2.185,0.080,-0.103,,,,,,,,
2009,1.372,0.052,-0.232,1.724,0.074,-0.072,,1.116,0.046,-0.237,1.347,0.061,-0.300,,0.522,0.122,0.454,0.563,0.063,-0.084,,0.898,0.135,0.479,1.010,0.060,0.116,,1.087,0.059,-0.026,1.091,0.052,-0.176,,0.640,0.082,0.343,0.775,0.087,-0.035,,3.788,0.072,-0.193,2.185,0.075,-0.103,,,,,,,,
2010,1.377,0.054,-0.232,1.730,0.078,-0.072,,1.116,0.045,-0.237,1.348,0.062,-0.300,,0.527,0.128,0.454,0.567,0.066,-0.084,,0.906,0.144,0.479,1.012,0.063,0.116,,1.090,0.061,-0.026,1.096,0.053,-0.176,,0.643,0.086,0.343,0.776,0.088,-0.035,,3.791,0.075,-0.193,2.189,0.079,-0.103,,,,,,,,
2011,1.374,0.055,-0.232,1.726,0.079,-0.072,,1.112,0.047,-0.237,1.345,0.062,-0.300,,0.523,0.127,0.454,0.563,0.067,-0.084,,0.895,0.137,0.479,1.011,0.061,0.116,,1.090,0.061,-0.026,1.093,0.052,-0.176,,0.638,0.084,0.343,0.767,0.086,-0.035,,3.786,0.075,-0.193,2.188,0.080,-0.103,,,,,,,,
2012,1.375,0.056,-0.232,1.726,0.077,-0.072,,1.114,0.047,-0.237,1.346,0.063,-0.300,,0.524,0.128,0.454,0.567,0.069,-0.084,,0.896,0.139,0.479,1.014,0.064,0.116,,1.095,0.061,-0.026,1.096,0.054,-0.176,,0.643,0.088,0.343,0.767,0.085,-0.035,,3.786,0.075,-0.193,2.195,0.079,-0.103,,,,,,,,
2013,1.378,0.057,-0.232,1.728,0.079,-0.072,,1.114,0.047,-0.237,1.346,0.063,-0.300,,0.535,0.136,0.454,0.568,0.071,-0.084,,0.900,0.143,0.479,1.020,0.068,0.116,,1.097,0.063,-0.026,1.099,0.055,-0.176,,0.650,0.092,0.343,0.774,0.089,-0.035,,3.786,0.075,-0.193,2.197,0.081,-0.103,,,,,,,,
2014,1.376,0.056,-0.232,1.726,0.078,-0.072,,1.113,0.047,-0.237,1.347,0.064,-0.300,,0.533,0.134,0.454,0.569,0.071,-0.084,,0.897,0.137,0.479,1.021,0.068,0.116,,1.098,0.063,-0.026,1.103,0.052,-0.176,,0.652,0.094,0.343,0.771,0.086,-0.035,,3.784,0.074,-0.193,2.200,0.082,-0.103,,,,,,,,
2015,1.373,0.059,-0.232,1.719,0.084,-0.072,,1.109,0.052,-0.237,1.345,0.068,-0.300,,0.520,0.131,0.454,0.567,0.075,-0.084,,0.885,0.128,0.479,1.017,0.078,0.116,,1.095,0.065,-0.026,1.101,0.057,-0.176,,0.642,0.092,0.343,0.768,0.094,-0.035,,3.781,0.081,-0.193,2.195,0.089,-0.103,,,,,,,,
2016,1.371,0.060,-0.232,1.715,0.083,-0.072,,1.107,0.052,-0.237,1.347,0.066,-0.300,,0.513,0.127,0.454,0.562,0.074,-0.084,,0.889,0.129,0.479,1.015,0.078,0.116,,1.097,0.062,-0.026,1.098,0.055,-0.176,,0.644,0.092,0.343,0.761,0.090,-0.035,,3.780,0.081,-0.193,2.198,0.085,-0.103,,,,,,,,
2017,1.375,0.060,-0.232,1.717,0.085,-0.072,,1.110,0.053,-0.237,1.348,0.067,-0.300,,0.513,0.125,0.454,0.569,0.075,-0.084,,0.889,0.127,0.479,1.019,0.082,0.116,,1.102,0.062,-0.026,1.099,0.056,-0.176,,0.645,0.094,0.343,0.768,0.093,-0.035,,3.788,0.084,-0.193,2.205,0.087,-0.103,,,,,,,,
