1854.5417,2606
1854.625,2637
1854.7083,2658
1854.7917,2649
1854.875,2649
1854.9583,2682
1855.0417,2707
1855.125,2731
1855.2083,2755
1855.2917,2755
1855.375,2670
1855.4583,2573
1855.5417,2582
1855.625,2682
1855.7083,2649
1855.7917,2658
1855.875,2557
1855.9583,2493
1856.0417,2633
1856.125,2530
1856.2083,2518
1856.2917,2576
1856.375,2563
1856.4583,2475
1856.5417,2576
1856.625,2579
1856.7083,2600
1856.7917,2548
1856.875,2545
1856.9583,2539
1857.0417,2600
1857.125,2630
1857.2083,2640
1857.2917,2560
1857.375,2548
1857.4583,2576
1857.5417,2496
1857.625,2560
1857.7083,2588
1857.7917,2582
1857.875,2518
1857.9583,2551
1858.0417,2548
1858.125,2521
1858.2083,2420
1858.2917,2429
1858.375,2496
1858.4583,2576
1858.5417,2585
1858.625,2594
1858.7083,2576
1858.7917,2597
1858.875,2591
1858.9583,2630
1859.0417,2640
1859.125,2694
1859.2083,2521
1859.2917,2521
1859.375,2563
1859.4583,2585
1859.5417,2563
1859.625,2539
1859.7083,2542
1859.7917,2585
1859.875,2512
1859.9583,2551
1860.0417,2524
1860.125,2512
1860.2083,2481
1860.2917,2469
1860.375,2438
1860.4583,2542
1860.5417,2536
1860.625,2539
1860.7083,2545
1860.7917,2487
1860.875,2496
1860.9583,2573
1861.0417,2466
1861.125,2469
1861.2083,2487
1861.2917,2435
1861.375,2441
1861.4583,2463
1861.5417,2527
1861.625,2509
1861.7083,2499
1861.7917,2484
1861.875,2478
1861.9583,2524
1862.0417,2771
1862.125,2615
1862.2083,2521
1862.2917,2524
1862.375,2576
1862.4583,2533
1862.5417,2609
1862.625,2633
1862.7083,2609
1862.7917,2563
1862.875,2545
1862.9583,2554
1863.0417,2496
1863.125,2493
1863.2083,2454
1863.2917,2478
1863.375,2490
1863.4583,2515
1863.5417,2542
1863.625,2545
1863.7083,2551
1863.7917,2548
1863.875,2545
1863.9583,2493
1864.0417,2475
1864.125,2515
1864.2083,2481
1864.2917,2469
1864.375,2627
1864.4583,2554
1864.5417,2630
1864.625,2615
1864.7083,2630
1864.7917,2643
1864.875,2609
1864.9583,2618
1865.0417,2621
1865.125,2606
1865.2083,2396
1865.2917,2411
1865.375,2502
1865.4583,2469
1865.5417,2527
1865.625,2557
1865.7083,2563
1865.7917,2554
1865.875,2539
1865.9583,2435
1866.0417,2576
1866.125,2618
1866.2083,2630
1866.2917,2554
1866.375,2569
1866.4583,2545
1866.5417,2627
1866.625,2640
1866.7083,2676
1866.7917,2612
1866.875,2563
1866.9583,2664
1867.0417,2643
1867.125,2542
1867.2083,2643
1867.2917,2554
1867.375,2597
1867.4583,2569
1867.5417,2649
1867.625,2643
1867.7083,2612
1867.7917,2573
